question,answer,url
I want to set up an automation that sends a Slack notification to a specific channel when a ticket's status is updated to 'Pending'. Can you guide me through the process?,"Sure! Here's a step-by-step guide to set up the automation you're looking for:

1. **Select Trigger**: Choose 'Request Update' as the trigger, as you want the automation to activate when a ticket's status is updated.
2. **Set Conditions**: Add a condition to check if the status is set to 'Pending'.
3. **Choose Delay**: You can set a delay of 0 minutes, as you want the action to occur immediately when the conditions are met.
4. **Choose Action**: Select 'Send Message' as the action and choose the Slack channel you want to send the notification to. You can also customize the message to include relevant ticket details.
5. **Map Collections**: Map the automation to the relevant collection(s) to ensure it's applied to the desired tickets.

By following these steps, you should be able to set up the desired automation. If you have any further questions or need assistance with a different use case, feel free to reach out!",https://docs.clearfeed.ai/clearfeed-help-center/clearfeed-helpdesk/automations
"I'm trying to integrate ClearFeed with an external ticketing system and create a collection for customer support. Can you guide me through the process, including setting up responders, request channels, and the triage channel?","Sure, I'd be happy to help you with the integration process! Here's a step-by-step guide to integrate ClearFeed with an external ticketing system and create a collection for customer support:

1. **Integrate ClearFeed with your Slack Workspace**: Before you begin, ensure that you have integrated your Slack Workspace with ClearFeed. This integration is crucial for seamless communication and ticket management.

2. **Set Product Edition to ""External""**: Navigate to [Product Editions](https://web.clearfeed.app/settings/product-editions) and set the product edition to ""External."" This setting ensures that ClearFeed is configured for external ticketing.

3. **Create a Collection**:
   - Navigate to [Collections](https://web.clearfeed.app/collections) from the side navigation bar.
   - Click on the `Add new Collection` button on the bottom-left of the page.

4. **Choose Responders**:
   - Select support team members as Responders. You can configure Slack users from specific domains or add additional responders if they are not from a common domain.
   - Check auto-assignment to first-responders `ON` to ensure efficient ticket assignment.

5. **Add Request Channels**:
   - Add the **Request channels** on which you plan to provide support to customers. These channels are where customers will interact with your support team.
   - All public Slack channels can be added from the web app.
   - Private Slack channels can be added by typing `/invite @Clearfeed` on the Slack channels. Note that private channels can only be added after a Collection is created.

6. **Configure Triage Channel**:
   - Add a [**Triage channel** ](/clearfeed-help-center/manage-requests/triage-channels)for the support team to work from on Slack. This channel is where your support team will manage and respond to tickets.
   - You can select `Create new channel` or `Select existing` option, depending on your preference.

7. **Set Up Ticketing Integration**:
   - Under **Ticketing**, select your external ticketing system (e.g., Zendesk, Freshdesk, Intercom, etc.) and choose the trigger mode for ticket creation. This integration ensures that tickets created in ClearFeed are synced with your external ticketing system.
   - The trigger mode can be an emoji (e.g., 🎟️) applied to the thread or tickets can be auto-created on every new message on the request channel.

8. **Edit Workflows (Optional)**:
   - You can edit an existing [workflow](/clearfeed-help-center/clearfeed-helpdesk/workflows) to send a notification to the corresponding triage channel if there is no response to a request for a specified time (e.g., 60 minutes). This is useful for keeping track of unanswered requests.

9. **Set Up Welcome Message (Optional)**:
   - Set up a custom [Welcome message ](/clearfeed-help-center/clearfeed-helpdesk/welcome-messages)for this particular collection to greet customers and provide initial instructions.

Once you have completed these steps, you will have successfully integrated ClearFeed with an external ticketing system and created a collection for managing customer support requests. The bidirectional sync between Slack and the external ticketing system ensures that all interactions and ticket updates are synchronized, providing a seamless support experience for your customers.

If you have any further questions or need assistance with specific aspects of the integration, feel free to ask! I'm here to help you make the most of ClearFeed's features.",https://docs.clearfeed.ai/clearfeed-help-center/getting-started/for-customer-support/integrate-slack-and-external-ticketing-system
"I'm trying to integrate ClearFeed with Jira Service Management (JSM) for our support team. Can you guide me through the process, including the installation and configuration steps?","Absolutely! Here's a step-by-step guide to integrate ClearFeed with JSM and configure the necessary settings:

1. **Install ClearFeed from the Atlassian Marketplace**:
   - Only Site Admins on Atlassian can perform this integration. Ensure you have the required authorization.
   - Go to the Atlassian marketplace and search for ClearFeed. You can find it by clicking 'Find new apps'.
   - Click on the ClearFeed card in the search results and select 'Get App'.
   - Confirm the installation by selecting 'Get it now'.
   - After the success message, click 'Configure' or go to 'Manage app' > 'User-installed apps' > 'Configure'.
   - Sign in to ClearFeed and click 'Finish installation' to complete the process.

2. **Enable Ticketing in ClearFeed**:
   - Open the ClearFeed web application and navigate to the Collection where you want to enable ticketing.
   - Click on the 'Settings' tab and expand the 'Ticketing Settings' section.
   - Enable the toggle and choose 'JSM' as the 'Ticketing Integration'.
   - Select the Trigger Mode: 'Emoji' (Manual) or 'Automatic'.
   - Click the ⚙️ icon to open the JSM setup modal. Here, select the default JSM project and issue type, then click 'Save'.

3. **Configure Sync Settings**:
   - Access Sync Settings by navigating to 'Objects' in the ClearFeed web app.
   - Choose your 'Message Sync Mode' and 'Status Sync Mode' for all new tickets.
   - For individual tickets, you can configure different sync settings. Responders can do this from the request channel in Slack.

The integration offers the following functionalities:
- Replies on the Slack thread and the JSM ticket are synced bidirectionally.
- The Slack thread displays the Title, ID, URL, and Status of the JSM Ticket.
- Status changes from JSM are reflected on Slack.
- ClearFeed adds labels to the JSM ticket: 'slack-channel-name' and 'clearfeed'.
- Public comments from the triage channel are synced to the JSM ticket.
- Status change updates are posted on the Slack thread when the JSM ticket is moved to Solved status.

Please let me know if you have any further questions or need assistance with any specific aspect of the integration. I'm here to help!",https://docs.clearfeed.ai/clearfeed-help-center/integrations/jira-service-management
"I'm trying to set up ticketing for my internal helpdesk, but I'm not sure how to enable it. Can you guide me through the process?","Sure! Here's a step-by-step guide to enable ticketing for your internal helpdesk: 

1. Navigate to your preferred collection.
2. Click on 'Settings' and then select 'Ticketing Settings'.
3. Choose 'ClearFeed' as the ticketing integration.
4. Decide on the trigger mode: either emoji-based or automatic. If you choose emoji-based, select the emoji that will trigger ticket creation (the default is 🎫).
5. Configure the form settings: you can choose to consider all forms or specific forms for ticket creation.

By following these steps, you'll be able to set up ticketing for your internal helpdesk and start creating tickets using the chosen method.",https://docs.clearfeed.ai/clearfeed-help-center/clearfeed-helpdesk/clearfeed-ticketing
"I'm trying to integrate ClearFeed with Microsoft Teams, but I'm not sure if I have the right permissions. Can you guide me through the initial setup process, including the required permissions and steps to follow?","To integrate ClearFeed with Microsoft Teams, you'll need to ensure the following permissions and setup steps:

**Permissions:**
- An Azure organization admin must authorize ClearFeed via the OAuth flow. This is a one-time activity.
- By default, only MS Teams admins can install apps or bots like ClearFeed. However, this can be configured based on your account settings.

**Setup Steps:**
1. Integrate ClearFeed with MS Teams: Follow the instructions in our help center to connect ClearFeed with your MS Teams account.
2. Install ClearFeed on Teams: Install the ClearFeed app on your MS Teams workspace.
3. Set up Request Management: Configure ClearFeed to manage requests and tickets from MS Teams.
4. Explore Workflows: Learn about the various workflows and automation options available with ClearFeed and MS Teams.

For more detailed instructions, please refer to our help center articles on [integrating ClearFeed with MS Teams](https://docs.clearfeed.ai/clearfeed-help-center/getting-started/using-clearfeed-with-microsoft-teams/integrate-clearfeed-with-ms-teams), [installing ClearFeed on Teams](https://docs.clearfeed.ai/clearfeed-help-center/getting-started/using-clearfeed-with-microsoft-teams/installing-clearfeed-on-teams), and [setting up request management](https://docs.clearfeed.ai/clearfeed-help-center/getting-started/using-clearfeed-with-microsoft-teams/request-management-on-ms-teams).

If you have any further questions or need assistance with the integration, feel free to reach out to our support team.",https://docs.clearfeed.ai/clearfeed-help-center/getting-started/using-clearfeed-with-microsoft-teams
"I'm trying to set up the Virtual Agent and Agent Assistant features on ClearFeed, but I'm not sure how to activate them. Can you guide me through the process, including the different settings and options available?","Sure! Here's a step-by-step guide to activating the Virtual Agent and Agent Assistant features on ClearFeed: 

1. **Add and index your knowledge sources**: Before you can use the Virtual Agent or Agent Assistant, you'll need to add your relevant knowledge sources to ClearFeed and ensure they are indexed. You can do this by navigating to the ClearFeed web app and following the steps outlined in the [indexing knowledge sources](https://docs.clearfeed.ai/clearfeed-help-center/answers/indexing-knowledge-sources) documentation.

2. **Navigate to Collections Settings**: Once your knowledge sources are added and indexed, go to the Collections Settings for the desired Collection. Scroll down to the **Answers** section to enable it.

3. **Select Virtual Agent or Agent Assistant**: In the Answers section, you'll have the option to select either the `Virtual Agent` or the `Agent Assistant`. Note that you cannot enable both for a single collection. The Virtual Agent responds directly in the request channel, while the Agent Assistant responds on the triage channel.

4. **Choose Response Mode**: You can choose between **AI-generated answers**, **Search Results**, or **Both**. This setting determines how the Virtual Agent or Agent Assistant will respond to user queries.

5. **Link Knowledge Sources**: You'll need to link this Collection with the required Knowledge Sources by choosing the appropriate tags. At least one Knowledge Source must be associated with generating answers.

6. **Set Trigger Mode (Virtual Agent only)**: For the Virtual Agent, you can choose between **Manual** and **Automatic** trigger modes. Manual mode requires an emoji (🔍) to be applied to the thread for the Virtual Agent to respond, while Automatic mode generates an answer for all requests on a thread.

7. **Enable Bot Interactions**: You can also enable Bot Interactions, which allow you to tag the ClearFeed bot in the thread to get GPT-Powered Answers and search results based on the conversation and knowledge sources. Learn more about Bot Interactions [here](https://docs.clearfeed.ai/clearfeed-help-center/answers/bot-interactions).

8. **Finalize and save settings**: Once you've made your selections, finalize and save your settings. This will activate the Virtual Agent or Agent Assistant across all request channels in this Collection.

I hope this guide helps you set up the Virtual Agent and Agent Assistant features on ClearFeed. If you have any further questions or need more assistance, please don't hesitate to ask!",https://docs.clearfeed.ai/clearfeed-help-center/answers/virtual-agent-in-request-channel
"I'm trying to set up a form for ticket creation in ClearFeed, but I'm not sure how to make certain fields non-editable by requesters. Can you guide me through the process?","Sure, I'd be happy to help you with setting up the form for ticket creation in ClearFeed! Here's a step-by-step guide:

1. Navigate to the ClearFeed web console and click on 'Objects' in the sidebar.
2. Click on 'Import from ClickUp' to view your Lists in the format: Space Name > List Name.
3. You'll see various fields like Title, Description, Assignees, Due Date, and Priority. These fields can be customized to suit your needs.
4. To make a field non-editable by requesters, click on the field and select 'Hide' from the field properties. This will ensure that requesters cannot modify the field during ticket creation.
5. You can also set default values for hidden fields, which will be automatically populated when a ticket is created.

By following these steps, you can create a form with specific fields that are non-editable by requesters, allowing you to maintain control over the ticket creation process. If you have any further questions or need additional assistance, feel free to reach out!",https://docs.clearfeed.ai/clearfeed-help-center/integrations/clickup/forms
I want to add a private Slack channel to a collection in ClearFeed. What steps do I need to follow?,"To add a private Slack channel to a collection in ClearFeed, follow these steps:

1. Go to the channel you wish to monitor.
2. Add the ClearFeed bot by typing `/invite @clearfeed`.
3. Select the option to configure the channel as a Request Channel.
4. Choose the channel owner and the collection to which you want to add the channel.
5. Click on 'Start Monitoring' to begin monitoring the channel.

Note: A channel owner can move the channel between collections and transfer ownership. They will also receive notifications if the channel experiences any issues, such as the ClearFeed bot being removed or the channel being taken out of a collection.",https://docs.clearfeed.ai/clearfeed-help-center/account-setup/manage-request-channels
How can I get a detailed report on the performance of our support team and the virtual agent?,"To get a detailed report on the performance of your support team and the ClearFeed Virtual Agent, you can follow these steps:

1. Navigate to the ClearFeed reporting section, which can be accessed from the ClearFeed dashboard or the navigation menu.
2. In the reporting section, you will find various tabs and options to filter and visualize your data. Here's a breakdown of the key sections:
   - **Reporting Overview**: This section provides a high-level summary of your support operations, including request load, response times, and service level management. It's a good starting point to get an overall understanding of your support performance.
   - **Metrics Definitions - Request**: This section provides detailed definitions and explanations of the metrics related to your support team's performance. It helps you understand how ClearFeed calculates and presents various metrics, such as response time, resolution time, and ticket volume.
   - **Metrics Definitions - Virtual Agent**: Similar to the previous section, this section provides definitions and explanations of metrics related to the ClearFeed Virtual Agent. It helps you understand how the virtual agent is performing, including its response accuracy, response time, and customer satisfaction scores.
   - **Data Visualization**: This section allows you to create custom reports and visualizations based on your specific requirements. You can filter data by various parameters, such as channel, responders, channel owners, collections, and assignees. You can also choose the time period for the report and select the type of visualization (e.g., bar chart, line chart, table).

By exploring these sections and customizing your reports, you can gain valuable insights into the performance of your support team and the ClearFeed Virtual Agent. This information can help you identify areas for improvement, optimize your support processes, and enhance the overall customer experience.",https://docs.clearfeed.ai/clearfeed-help-center/clearfeed-helpdesk/reporting
"I'm an existing ClearFeed-Slack user and want to integrate with MS Teams, but I'm using the same email domain for both platforms. What should I do?","If you're an existing ClearFeed-Slack user and want to integrate with MS Teams, but you're using the same email domain for both platforms, you'll need to reach out to our dedicated support team at [support@clearfeed.ai](mailto:support@clearfeed.ai) or connect with us directly on Slack or Intercom. Our team will assist you in creating a new account from our backend, as attempting to create a new account from your existing ClearFeed account for MS Teams integration will not be successful due to the email domain configuration.",https://docs.clearfeed.ai/clearfeed-help-center/getting-started/using-clearfeed-with-microsoft-teams/integrate-clearfeed-with-ms-teams/for-existing-clearfeed-less-than-greater-than-slack-users
